Voor welke Vlaamse krant werkt Luc Van der Kelen?;Het laatste Nieuws
Welke Paul speelde in de jaren ’60 en ’70 meer dan 80 interlands voor de Rode Duivels? We zoeken voor- en familienaam.;Paul Van Himst
Hoeveel punten is de zwarte snookerbal waard?(Enkel een cijfer);7
In welk land werd Walter Grootaerts in 1955 geboren?;Duitsland
Op welk Aziatisch eilandengroep hield tyfoon Haiyan eind 2013 lelijk huis?;Filipijnen
Griekse mythologie. Hoe heette de zoon van Daedalos?;Icarus
Op welk Frans eiland werd Napoleon Bonaparte geboren?;Corsica
Wie heb je volgens een Vlaamse uitdrukking gezien als je 50 jaar oud wordt?;Abraham
Wat is de veel gekendere naam voor het schilderij ‘La Gioconda’ van Da Vinci?;Mona Lisa
Hoe heet de autoweg die zowel door Leuven, door Brussel als door Gent loopt?;E40
Welk instrument vormt samen met de winkelhaak het logo van de vrijmetselarij?;Passer
Welke West-Vlaamse stad wordt in het Frans ‘Roulers’ genoemd?;Roeselare
Welke taal wordt in Zwitserland het meest gesproken?;Duits
Welke specifieke feestdag vieren we in Vlaanderen op 11 november?;Sint Maarten
In welke stripreeks verscheen het album 'De Zeven Snaren’?;Suske en Wiske
Wie schreef het boek Inferno? We zoeken voor- en familienaam.;Dan Brown
Wie presenteerde op Vier het tweede seizoen van ‘De slimste Gemeente’? We zoeken voor- en familienaam.;Michiel Devlieger
Uit welke taal lenen we het woord ‘Neanderthaler’?;Duits
Welke organisatie onder leiding van Pierre Carette pleegde in ’84 en ’85 aanslagen in België?;CCC
Hoe heette de moeder van de Nederlandse Koningin Beatrix?;Juliana
Welk dier heet in het Frans ‘Lapin’;Konijn
Van welke internationale organisatie was Dominique Strauss-Kahn voorzitter?;IMF
In welke Vlaamse stad vind je de wijken Luchtbak en Stuivenberg?;Antwerpen
In welke Vlaamse gemeente wordt de pils Bavik gebrouwen?;Bavikhove
Welke klassieke componist staat in de Klara top 100 met ‘Bist du bei Mir’?;Johann Sebastian Bach
In welk land liggen de skischansen van Oberstdorf en Garmisch-partenkirchen?;Duitsland
In welke Duitse stad kan je een prostituee ontmoeten op de Reeperbahn?;Hamburg
Welke Slowaakse renner won in 2014 de groene trui in de Tour de France?We zoeken voor- en familienaam.;Peter Sagan
Wie schreef ‘De Metsiers’?We zoeken voor- en familienaam.;Hugo Claus
Welke chef-kok werd in 2011 ereburger van Kruishoutem?We zoeken voor- en familienaam.;Peter Goossens
In welke Europese hoofdstad kan je een optreden meepikken in de Royal Albert Hall?;Londen
Hoe heet het Afrikaans land Opper-Volta tegenwoordig?;Burkina Faso
In welk land liggen volgens ‘Heylen ende herkomst’ de roots van Elodie Ouédraogo?;Burkina Faso
In welk Europees land wordt Pilsner Urquell gebrouwen?;Tsjechië
Welk land werd in 1962 in Chili wereldkampioen voetbal?;Brazilië
Nintendo. Wat is precies het beroep van Super Mario?;Loodgieter
Welke komische Bert stond begin 2014 in de boekentoptien met zijn boek ‘Mijnheer de notaris’? We zoeken enkel de familienaam.;Kruismans
Welke Amerikaanse stad heeft een luchthaven met als drieletterige code ‘JFK’?;New York
Wat is de taak van een ‘plongeur’ in een sterrenkeuken?;Afwassen
Wie is de geestelijke vader van stripheld Cowboy Henk? We zoeken voor- en familienaam.;Herr Seele
Welke Duitse generaal-veldmaarschalk kreeg de bijnaam ‘woestijnvos’? We zoeken voor- en familienaam.;Erwin Rommel
Vul aan. Sergei Prokofiev componeerde ‘Romeo en.. ‘?;Julia
Naar welk land verwijst het internetadres www.info.mx?;Mexico
Hoeveel kleuren heeft de Duitse vlag?(Enkel een cijfer);3
Met een ‘V’. Hoe heet de hoofdstad van Litouwen?;Vilnius
Welke Jo is momenteel de topman van de NMBS? We zoeken voor- en familienaam.;Jo Cornu
